,date,VRP
1824,2003-05-05,-13.733703804531501
1825,2003-05-06,-18.99048489025114
1826,2003-05-07,-16.096035824664852
1827,2003-05-08,-12.325143467845919
1828,2003-05-09,-37.156751669851815
1829,2003-05-12,-39.75343083140433
1830,2003-05-13,-34.41717677556824
1831,2003-05-14,-33.012300640351555
1832,2003-05-15,-42.64471707930312
1833,2003-05-16,-54.8900776786777
1834,2003-05-19,-22.671753430161004
1835,2003-05-20,-12.018907892506434
1836,2003-05-21,-13.315129122241558
1837,2003-05-22,-33.58255637547575
1838,2003-05-23,-42.76790337497539
1839,2003-05-27,-30.117497429832497
1840,2003-05-28,-30.440988845511185
1841,2003-05-29,-22.684318606810052
1842,2003-05-30,-37.40392441549193
1843,2003-06-02,-17.099622518044157
1844,2003-06-03,-17.318864342912832
1845,2003-06-04,-19.819422921378646
1846,2003-06-05,-17.527782337308054
1847,2003-06-06,-10.46906134371801
1848,2003-06-09,4.623791216835343
1849,2003-06-10,-20.385608097377826
1850,2003-06-11,-26.53690197993268
1851,2003-06-12,-23.455818557547275
1852,2003-06-13,-19.476464618401906
1853,2003-06-16,-26.812893473286238
1854,2003-06-17,-32.21079228758225
1855,2003-06-18,-36.00055731953239
1856,2003-06-19,-32.358295625328424
1857,2003-06-20,-43.35627445486949
1858,2003-06-23,-21.32693647171334
1859,2003-06-24,-19.196085731649816
1860,2003-06-25,-18.24529008639314
1861,2003-06-26,-38.46499960451831
1862,2003-06-27,-42.5696549878993
1863,2003-06-30,-37.620649112479896
1864,2003-07-01,-37.47477041026036
1865,2003-07-02,-44.08236737213588
1866,2003-07-03,-39.32844123741421
1867,2003-07-07,-28.384338159157778
1868,2003-07-08,-38.88048944107675
1869,2003-07-09,-47.01812730839873
1870,2003-07-10,-42.66290910470684
1871,2003-07-11,-53.553786344279104
1872,2003-07-14,-36.83016085113928
1873,2003-07-15,-37.58704751279845
1874,2003-07-16,-33.99354758050049
1875,2003-07-17,-24.677475252613533
1876,2003-07-18,-42.17872491749313
1877,2003-07-21,-32.84901229025195
1878,2003-07-22,-41.878659699240416
1879,2003-07-23,-50.00992435195218
1880,2003-07-24,-49.60592419047737
1881,2003-07-25,-61.69609100500321
1882,2003-07-28,-54.391140492142085
1883,2003-07-29,-49.43899093593916
1884,2003-07-30,-46.64027165417383
1885,2003-07-31,-37.222616541504124
1886,2003-08-01,-17.484886734076554
1887,2003-08-04,-8.949587920714748
1888,2003-08-05,15.123252584926831
1889,2003-08-06,-4.648940147260589
1890,2003-08-07,-24.482743067352033
1891,2003-08-08,-34.83839436751447
1892,2003-08-11,-31.59290303955561
1893,2003-08-12,-57.37788462443797
1894,2003-08-13,-46.00704306573891
1895,2003-08-14,-50.43768567613478
1896,2003-08-15,-53.26896230347063
1897,2003-08-18,-53.78065215009025
1898,2003-08-19,-57.9349028698374
1899,2003-08-20,-57.46767456986976
1900,2003-08-21,-56.77047144290498
1901,2003-08-22,-46.894873436363866
1902,2003-08-25,-32.83153893849965
1903,2003-08-26,-31.947177952977484
1904,2003-08-27,-37.306335684009184
1905,2003-08-28,-46.43125543696544
1906,2003-08-29,-44.458891116993414
1907,2003-09-02,-38.912379864179115
