Date,Slope,Slope_Cam
16/07/1997,-0.52071162,-0.52071162
17/07/1997,-0.613313474,-0.613313474
18/07/1997,-0.523787215,-0.523787215
21/07/1997,-0.780418853,-0.780418853
22/07/1997,-0.509922924,-0.509922924
23/07/1997,-0.45781225,-0.45781225
24/07/1997,-0.314674516,-0.314674516
25/07/1997,-0.245067245,-0.245067245
28/07/1997,-0.406347335,-0.406347335
29/07/1997,-0.380013276,-0.380013276
30/07/1997,-0.371250713,-0.371250713
31/07/1997,-0.345216073,-0.345216073
01/08/1997,-0.333893331,-0.333893331
04/08/1997,-0.386904333,-0.386904333
05/08/1997,-0.288007703,-0.288007703
06/08/1997,-0.244910443,-0.244910443
07/08/1997,-0.321741337,-0.321741337
08/08/1997,-0.38209152,-0.38209152
11/08/1997,-0.383810754,-0.383810754
12/08/1997,-0.56193703,-0.56193703
13/08/1997,-0.547695301,-0.547695301
14/08/1997,-0.327407095,-0.327407095
15/08/1997,-0.647425224,-0.647425224
18/08/1997,-0.314801593,-0.314801593
19/08/1997,-0.093286922,-0.093286922
20/08/1997,-0.017284393,-0.017284393
21/08/1997,-0.476784006,-0.476784006
22/08/1997,-0.397422145,-0.397422145
25/08/1997,-0.366197954,-0.366197954
26/08/1997,-0.535677429,-0.535677429
27/08/1997,-0.352482556,-0.352482556
28/08/1997,-0.37796655,-0.37796655
29/08/1997,-0.310946862,-0.310946862
02/09/1997,-0.427106304,-0.427106304
03/09/1997,-0.528944387,-0.528944387
04/09/1997,-0.511069973,-0.511069973
05/09/1997,-0.378022627,-0.378022627
08/09/1997,-0.398777012,-0.398777012
09/09/1997,-0.257562807,-0.257562807
10/09/1997,-0.259246218,-0.259246218
11/09/1997,-0.445665976,-0.445665976
12/09/1997,-0.341964394,-0.341964394
15/09/1997,-0.384927106,-0.384927106
16/09/1997,-0.094568587,-0.094568587
17/09/1997,-0.159849454,-0.159849454
18/09/1997,-0.013079411,-0.013079411
19/09/1997,0.114235776,0.11423577648580516
22/09/1997,0.162883347,0.16288334680909175
23/09/1997,0.20939783,0.2093978300912795
24/09/1997,0.136939072,0.13693907207539724
25/09/1997,0.022245224,0.022245224
26/09/1997,0.100641713,0.10064171257412519
29/09/1997,-0.056093326,-0.056093326
30/09/1997,-0.14033634,-0.14033634
01/10/1997,-0.070971399,-0.070971399
02/10/1997,-0.047611115,-0.047611115
03/10/1997,0.017184192,0.017184192
06/10/1997,0.037952605,0.037952604917081974
07/10/1997,0.118310977,0.11831097667292283
08/10/1997,0.089851769,0.089851769
09/10/1997,0.055742566,0.055742565861886265
10/10/1997,0.063886834,0.063886834
13/10/1997,0.152563682,0.15256368172445084
14/10/1997,0.053272656,0.053272656
15/10/1997,0.078080749,0.078080749
16/10/1997,0.061545063,0.061545063
17/10/1997,-0.031661324,-0.031661324
20/10/1997,0.050292125,0.050292125
21/10/1997,0.157681097,0.1576810968605815
22/10/1997,0.099311888,0.099311888
23/10/1997,-0.219588757,-0.219588757
24/10/1997,-0.352744166,-0.352744166
27/10/1997,-2.001053467,-2.001053467
28/10/1997,-1.184907723,-1.184907723
29/10/1997,-1.627436852,-1.627436852
30/10/1997,-2.291947464,-2.291947464
31/10/1997,-1.487085703,-1.487085703
03/11/1997,-0.791714734,-0.791714734
04/11/1997,-0.712570924,-0.712570924
05/11/1997,-0.776127923,-0.776127923
06/11/1997,-0.755654497,-0.755654497
07/11/1997,-1.161599901,-1.161599901
10/11/1997,-1.198423013,-1.198423013
11/11/1997,-1.05590461,-1.05590461
12/11/1997,-1.380508762,-1.380508762
13/11/1997,-1.093115824,-1.093115824
14/11/1997,-0.321472544,-0.321472544
17/11/1997,0.096807596,0.096807596
18/11/1997,0.006870171,0.006870171
19/11/1997,0.248090369,0.2480903687654554
20/11/1997,0.645278303,0.6452783029154954
21/11/1997,0.751247651,0.7512476511946851
24/11/1997,0.101634446,0.1016344463601682
25/11/1997,0.258145842,0.25814584215434583
26/11/1997,0.390832561,0.39083256101578756
28/11/1997,0.466764508,0.4667645075669182
