This file contains the VIX futures returns used in the paper 'Risk Premia and the VIX Term Structure' by Travis Johnson
The dates are in YYYYMMDD format
r_K^{VIX fut.} gives the daily return of a constant-maturity VIX futures strategy with target maturity K months
Returns are in percent

Date,r_1^{VIX fut.},r_2^{VIX fut.},r_3^{VIX fut.},r_4^{VIX fut.},r_5^{VIX fut.},r_6^{VIX fut.}
20050412, -2.449, -2.449, -2.552, -2.552, -3.729, -3.729
20050413, 4.216, 4.216, 1.289, 1.289, 3.378, 3.378
20050414, 5.867, 5.867, 5.436, 5.436, 5.796, 5.796
20050415, 4.463, 4.463, 5.214, 5.214, 3.005, 3.005
20050418, -0.014, -0.014, -0.092, -0.092, 1.834, 1.834
20050419, -3.782, -3.782, -1.810, -1.810, -5.594, -5.594
20050420, 2.561, 2.561, 0.562, 0.562, 6.758, 6.758
20050421, -5.429, -5.429, -5.553, -5.553, -8.075, -8.075
20050422, 2.981, 2.981, 1.642, 1.642, 1.158, 1.158
20050425, -3.646, -3.646, -1.049, -1.049, -2.055, -2.055
20050426, 1.907, 1.907, 0.494, 0.494, 0.892, 0.892
20050427, -0.019, -0.019, -0.615, -0.615, 0.702, 0.702
20050428, 5.013, 5.013, 4.854, 4.854, 5.288, 5.288
20050429, -0.847, -0.847, -0.459, -0.459, -2.578, -2.578
20050502, -2.960, -2.960, -3.242, -3.242, -2.805, -2.805
20050503, -0.931, -0.931, -1.206, -1.206, -0.408, -0.408
20050504, -3.906, -3.906, -3.875, -3.875, -2.943, -2.943
20050505, -1.277, -1.558, -1.558, -1.987, -1.987, -1.987
20050506, 0.450, 0.222, 0.222, 0.579, 0.579, 0.579
20050509, -1.438, -1.415, -1.415, -1.308, -1.308, -1.308
20050510, 3.767, 3.961, 3.961, 5.297, 5.297, 5.297
20050511, 0.580, 0.598, 0.598, -0.444, -0.444, -0.444
20050512, 5.467, 5.375, 5.375, 6.243, 6.243, 6.243
20050513, 2.185, 2.185, 2.185, 1.044, 1.044, 1.044
20050516, -1.443, -1.443, -1.443, -4.405, -4.405, -4.405
20050517, -3.544, -3.544, -3.544, -2.527, -2.527, -2.527
20050518, -4.379, -4.379, -4.379, -2.885, -2.885, -2.885
20050519, -1.792, -1.792, -1.792, -1.251, -1.251, -1.251
20050520, -1.366, -1.366, -1.366, -0.467, -0.467, -0.467
20050523, -2.102, -2.102, -2.102, -0.676, -0.676, -0.676
20050524, -0.529, -0.529, -0.529, -0.988, -0.988, -0.515
20050525, 0.881, 0.881, 0.881, 0.661, 0.661, -0.584
20050526, -3.327, -3.327, -3.327, -0.911, -0.911, -2.561
20050527, 0.419, 0.419, 0.419, -0.519, -0.519, 1.406
20050531, 0.865, 0.865, 0.865, 1.821, 1.821, 0.786
