This file contains the principal components of the VIX term structure from 'Risk Premia and the VIX Term Structure' by Travis Johnson,,,,,,
The principal components are standardized to have mean zero and standard deviation one,,,,,,
The dates are in YYYYMMDD format,,,,,,
,,,,,,
,PC1,PC2,PC3,PC4,PC5,PC6
20080502, -0.25383, 0.01324, 0.44326, 0.60214, 0.26768, 0.22104
20080505, -0.20844, 0.00708, 0.38527, 0.67302, 0.19000, 0.20478
20080506, -0.24223, 0.09266, 0.45079, 0.71213, 0.21293, -0.06705
20080507, -0.11192, 0.07895, 0.49868, 0.73527, 0.15319, 0.05743
20080508, -0.16036, 0.14538, 0.46920, 0.64387, 0.14119, 0.15355
20080509, -0.13135, 0.15482, 0.47890, 0.65070, 0.10534, 0.09254
20080512, -0.21361, 0.25401, 0.72085, 0.37617, 0.09941, 0.49615
20080513, -0.21474, 0.24489, 0.57597, 0.43364, 0.09577, 0.37950
20080514, -0.23988, 0.26651, 0.56506, 0.46743, 0.08663, 0.23063
20080515, -0.30374, 0.35466, 0.65567, 0.46689, 0.05496, 0.49694
20080516, -0.27431, 0.44838, 0.58139, 0.57558, 0.05249, 0.30636
20080519, -0.24380, 0.45786, 0.56325, 0.66042, 0.00154, 0.03300
20080520, -0.17013, 0.49619, 0.80486, 0.59181, -0.04396, -0.05804
20080521, -0.05432, 0.60134, 1.00988, 0.59446, -0.12650, 0.26877
20080522, -0.10455, 0.67673, 0.81579, 0.59554, -0.13700, -0.14831
20080523, -0.01074, 0.63143, 0.88345, 0.73377, -0.16181, -0.08983
20080527, -0.00744, 0.44594, 0.29880, 0.54411, -0.17656, -0.40089
20080528, -0.05149, 0.55606, 0.40436, 0.52355, -0.26847, -0.41988
20080529, -0.13773, 0.65643, 0.16894, 0.47459, -0.02114, -0.25866
20080530, -0.17621, 0.61053, 0.37606, 0.26386, -0.22516, -0.02832
20080602, -0.02524, 0.51955, 0.12428, 0.44488, -0.14441, -0.27325
20080603, 0.00686, 0.52101, 0.25647, 0.32405, -0.25636, -0.07420
20080604, 0.06278, 0.48507, 0.11723, 0.49931, -0.25647, -0.27676
20080605, -0.10421, 0.59785, 0.09564, 0.25058, -0.10537, -0.17028
20080606, 0.29035, 0.33407, -0.15708, 0.27238, -0.35861, -0.31173
20080609, 0.23410, 0.33765, -0.08905, 0.33313, -0.20623, -0.29631
20080610, 0.21572, 0.37447, -0.18821, 0.18273, -0.18932, -0.41540
20080611, 0.28328, 0.29879, -0.28266, 0.18446, -0.35993, -0.31317
20080612, 0.21755, 0.29310, -0.23222, -0.07993, -0.64392, -0.25598
20080613, 0.04688, 0.40234, 0.02901, -0.24382, -0.46440, -0.25054
20080616, 0.02029, 0.33270, 0.01964, -0.31994, -0.32231, -0.25525
20080617, 0.03744, 0.31214, 0.09038, -0.17693, -0.50476, -0.09456
20080618, 0.14338, 0.35053, 0.21959, -0.33537, -0.53686, -0.02495
20080619, 0.06724, 0.34271, 0.15525, -0.23320, -0.29842, -0.26306
20080620, 0.17643, 0.20293, 0.08125, -0.35347, -0.30241, -0.00106
20080623, 0.14680, 0.26653, -0.00145, -0.11422, -0.20770, 0.00017
20080624, 0.14208, 0.28837, 0.01627, -0.13266, -0.21711, 0.08708
20080625, 0.03351, 0.32709, -0.00056, -0.25115, -0.08896, 0.19998
20080626, 0.15705, -0.36510, -0.61070, -5.22437, 1.56370, -0.47491
20080627, 0.13002, -0.32506, -0.67464, -5.24377, 1.69558, -0.28778
20080630, 0.13114, -0.42592, -0.91869, -5.11822, 1.94271, -0.30371
20080701, 0.11558, -0.35614, -0.85898, -5.02292, 1.85747, -0.30333
20080702, 0.22072, -1.07024, 0.20366, -4.07358, 3.64660, -0.17422
20080703, 0.15348, -0.92867, 0.31057, -3.85135, 3.55186, -0.11845
20080707, 0.21662, -1.03680, 0.16158, -3.46283, 3.47031, 0.02610
20080708, 0.02888, -0.65744, 0.29177, -2.51773, 2.69132, 0.01380
20080709, 0.27917, -0.58565, 0.93774, 1.29098, -1.02958, 0.82822
20080710, 0.21335, -0.95682, 0.08931, -2.98364, 3.24719, 0.08532
20080711, 0.44571, -0.79676, 1.00911, 1.21507, -1.09318, 1.50499
20080714, 0.51464, -0.98607, 0.46431, 1.76386, -0.96444, 1.10604
20080715, 0.53634, -0.96168, 1.00993, 1.62786, -1.02439, 0.73920
20080716, 0.25264, -0.53666, 1.08293, 1.26399, -0.66624, 0.57737
20080717, 0.13904, -0.78609, 0.25299, -2.10490, 2.73416, -0.19632
20080718, 0.11839, -0.68948, 0.41176, -2.09420, 2.70187, 0.01501
20080721, 0.01074, -0.78146, 0.12095, -4.34299, 5.06451, -0.49832
20080722, -0.08429, -0.33540, 0.60704, -1.22115, 2.00070, -0.12767
20080723, -0.04084, -0.36204, 0.81762, -1.25302, 1.92188, -0.56475
20080724, 0.11413, -0.56122, 1.10789, -1.81668, 2.47597, -0.99458
20080725, 0.06289, -0.42830, 1.04510, -1.55142, 2.33750, -0.85080
20080728, 0.18387, -0.26051, 0.62462, 2.43861, -0.29495, -2.69914
20080729, -0.04082, -0.29646, 0.14353, -0.30256, 2.04467, -1.53444
20080730, -0.09737, -0.25687, 0.09966, -0.16956, 1.70000, -0.95980
20080731, -0.00462, -0.33164, 0.14993, -0.28804, 1.99387, -1.10026
20080801, 0.03460, -0.36222, 0.43687, -0.51772, 2.08824, -0.32488
20080804, 0.09378, -0.48651, 0.37502, -0.50468, 2.20469, 0.01855
20080805, -0.08139, -0.23181, 0.33471, -0.06092, 1.55918, -0.04146
20080806, -0.10505, 0.00136, 0.65649, 1.18526, 0.26109, 0.15662
20080807, -0.04888, -0.18172, 0.50150, -0.05007, 1.70034, -0.01253
20080808, -0.08522, -0.06191, 0.55525, 0.08280, 1.38358, -0.01303
20080811, -0.07566, 0.10808, 0.33039, -0.39730, 0.92642, 0.34621
20080812, -0.00008, 0.05908, 0.28930, -0.42634, 1.05363, 0.21667
20080813, 0.03520, 0.09070, 0.31651, -0.50623, 1.11312, 0.49365
20080814, -0.04627, 0.19133, 0.24707, -0.33659, 1.01990, 0.34561
20080815, -0.07868, 0.23242, 0.36608, -0.35243, 0.91320, 0.46573
20080818, 0.01151, 0.16809, 0.29149, -0.43461, 1.06356, 0.70079
20080819, 0.03887, 0.17435, 0.20381, -0.43441, 1.05553, 0.72970
20080820, -0.01543, 0.25565, 0.53722, -0.52229, 0.89403, -0.16832
20080821, -0.05534, 0.36159, 0.54821, -0.40368, 0.88183, 0.00032
20080822, -0.10034, 0.47285, 0.54595, -0.26435, 0.75372, -0.07875
20080825, 0.03355, 0.31478, 0.42430, -0.35342, 0.97198, -0.18560
20080826, 0.01515, 0.37731, 0.44547, -0.29464, 0.88853, -0.08156
20080827, -0.03277, 0.38342, 0.22665, -0.11966, 0.83710, -0.16340
20080828, -0.08810, 0.41277, 0.34857, -0.09493, 0.68385, -0.08374
20080829, 0.01109, 0.34488, 0.33877, -0.13836, 0.77024, -0.10676
20080902, 0.10264, 0.23738, 0.14295, -0.13599, 0.74654, -0.25171
20080903, 0.06969, 0.29648, 0.15940, -0.18252, 0.75996, -0.18713
20080904, 0.26974, 0.10512, 0.22134, 0.22641, 0.49680, -0.08588
20080905, 0.19720, 0.21091, 0.09100, 0.22405, 0.49100, -0.04255
20080908, 0.15145, 0.13370, -0.07820, -0.01944, 0.71187, -0.34823
20080909, 0.38868, -0.02146, -0.00360, 0.30835, 0.55078, -0.25765
20080910, 0.29489, 0.01322, 0.01259, 0.19198, 0.53243, -0.21744
20080911, 0.27417, -0.01072, -0.06234, -0.11896, 0.55879, -0.25711
20080912, 0.36926, -0.15657, -0.16442, 0.05250, 0.52070, -0.31792
20080915, 0.78395, -0.72348, -1.26516, 0.12969, 1.23456, -0.56150
20080916, 0.70205, -0.71556, -1.29579, -0.02917, 1.06982, -0.60615
20080917, 1.26417, -1.55756, -2.47119, 0.39758, 1.73021, -1.62995
20080918, 0.98099, -1.26276, -1.89502, -0.41422, 1.56596, -1.15083
20080919, 0.80023, -0.87219, -1.19269, -0.17262, 0.94220, -0.91677
20080922, 1.14624, -1.16830, -1.72384, -0.49079, 1.30944, -0.73965
20080923, 1.29103, -1.20205, -1.40204, -0.58751, 1.32528, -0.37933
20080924, 1.24043, -1.09793, -1.47512, -0.10476, 0.92973, -0.70183
20080925, 0.91069, -1.46637, -0.95089, -4.19750, -1.45675, -1.84914
20080926, 1.04249, -1.84423, -1.60181, -4.18739, -1.30454, -1.60304
20080929, 2.27833, -4.77995, -4.95450, -9.12862, -1.21731, -2.64481
20080930, 1.51728, -2.85996, -2.36804, -6.48943, -1.24255, -1.42532
20081001, 1.59491, -3.36072, -1.05280, -4.88330, -0.15864, -1.51320
20081002, 2.28092, -5.26246, -2.22455, -7.69937, 0.63436, -3.02776
20081003, 2.16892, -5.07716, -1.59736, -8.14635, 0.64953, -0.67090
20081006, 2.62727, -7.01098, -5.20528, -8.05588, 0.46478, -1.94297
20081007, 3.46485, -6.79206, -3.45115, 2.08863, 4.29312, 2.87547
20081008, 4.11897, -7.85815, -2.13237, 3.69378, 0.66794, 1.53142
20081009, 5.40446, -8.37073, -6.52608, 3.77352, 0.77598, 2.93771
20081010, 6.31871, -11.02610, -8.23609, 2.25466, 1.37351, -0.30591
20081013, 3.62298, -6.00962, -2.61078, 6.48226, 2.21855, -1.06506
20081014, 3.82595, -5.80403, -1.00947, 6.27501, 2.14717, 1.40402
20081015, 6.01624, -9.55594, -10.63687, 6.22917, -0.25291, 1.78409
20081016, 5.85381, -9.11494, -7.62046, 2.52480, 0.06555, 1.40428
20081017, 6.37138, -9.97574, -10.31971, 4.29524, -0.42377, 6.37854
20081020, 3.94538, -4.83577, 2.06775, 4.54663, 1.43355, 1.90042
20081021, 4.01350, -4.85299, 1.75125, 6.61232, 1.07967, -0.28993
20081022, 6.51658, -9.70459, -8.37326, 1.82982, -2.05289, -2.20043
20081023, 6.45197, -9.30542, -8.10424, 2.53839, -2.77462, -6.38189
20081024, 8.68651, -10.51962, -14.38489, -2.23677, 1.17730, -2.21247
20081027, 8.89681, -10.31341, -9.95688, -3.72742, -0.68658, -2.63098
20081028, 6.39305, -5.58578, -7.08878, -0.87440, 0.24263, -2.15595
20081029, 7.74871, -6.59546, -5.91829, -1.84626, 0.28481, -1.51002
20081030, 6.33965, -6.09378, 2.04328, 8.04014, 4.70691, 1.33507
20081031, 5.74211, -3.66291, 5.76345, 7.99492, 3.61802, 2.17735
20081103, 5.12100, -2.29731, 7.98397, 6.11051, 3.10723, 3.20609
20081104, 3.84400, -0.58578, 4.91193, 6.33793, 1.76493, -0.29006
20081105, 4.97034, -2.55704, 3.73423, 8.51868, 3.08658, -0.85180
20081106, 6.76212, -3.00710, -2.00704, 0.01089, -1.76195, -1.18903
20081107, 5.77128, -1.51625, 1.90316, -2.75355, -1.71911, 2.77340
20081110, 6.16770, -2.01487, -0.73472, -0.40936, -1.63144, 1.25942
20081111, 6.45180, -1.89524, -0.30309, -0.59969, -0.72902, 1.82979
20081112, 7.60166, -3.10042, -0.74771, -0.63883, -0.76887, 0.96884
20081113, 6.14838, -1.19852, -0.80597, -0.12813, -0.06010, 4.86247
20081114, 7.44420, -1.80058, -1.20600, 0.78468, -0.55043, -0.92352
20081117, 8.47244, -3.08888, 0.50515, -1.92950, -0.22915, -0.38611
20081118, 8.35894, -2.90273, 0.82594, -2.22456, -0.10069, -0.13537
20081119, 10.03214, -4.09653, 0.97268, -3.83690, 0.44420, 5.20569
20081120, 11.54702, -6.56713, -0.64766, -3.36397, 1.34629, 19.04786
20081121, 9.24539, -4.05646, 0.34235, -3.28728, -0.57402, 15.89620
20081124, 7.41789, -4.39769, 5.16202, -9.90664, 0.94417, 13.17491
20081125, 6.97434, -2.75739, 0.40022, -3.74278, -0.95211, 3.48086
20081126, 5.72267, -0.35068, 1.03124, -1.35702, -0.61309, -1.18219
20081128, 5.89646, -0.39154, -0.34066, -0.01349, -1.49330, -2.62460
20081201, 8.28376, -3.46136, -0.98678, -1.72976, -1.91069, -4.47581
20081202, 7.44425, -1.84084, 0.19595, -1.41542, -1.89859, -5.18259
20081203, 6.99800, -0.94706, 1.11181, -2.10121, -1.65548, -3.57175
20081204, 7.93520, -0.81369, 2.26506, 0.03068, -2.32916, -3.70064
20081205, 6.95839, 0.50980, 1.56393, -1.51785, -1.01602, 0.08202
20081208, 6.47651, 1.00013, 1.84413, -0.01651, -0.90914, -0.92110
20081209, 6.81923, 1.30257, 2.90507, 0.71750, -0.55478, -0.90448
20081210, 6.27603, 2.18562, 3.96571, 0.98835, -1.44111, -0.49532
20081211, 6.26006, 2.07321, 4.01582, 1.56265, -1.53251, -0.81515
20081212, 6.13902, 2.25719, 4.77375, 0.58061, -1.22542, 2.08739
20081215, 6.43845, 1.43287, 3.40240, -0.39259, -0.64066, -0.95991
20081216, 5.32735, 2.33524, 4.46140, -0.57035, -1.08468, 0.86190
20081217, 5.03309, 2.78839, 3.11057, 1.94960, -0.75627, -0.50016
20081218, 4.79117, 3.06669, 2.74376, 1.84929, -0.40705, 0.36973
20081219, 4.07606, 3.51881, 0.11743, 3.25927, -0.35344, -0.95937
20081222, 4.02766, 3.65271, 2.21218, 1.00405, 0.44206, 5.17047
20081223, 4.00292, 3.70595, 1.73291, 2.00097, 0.74067, -0.10340
20081224, 3.92855, 3.41679, 0.58597, 2.55541, 0.57834, -0.22556
20081226, 3.46941, 2.19440, -1.60685, -7.06017, -0.43552, 0.44712
20081229, 3.61539, 2.01673, -0.93148, -8.66224, -0.03495, -0.31615
20081230, 3.25494, 2.23360, -0.25475, -7.01926, 0.29117, -0.41699
20081231, 2.91291, 2.58076, 0.00995, -6.29759, 0.24247, 0.56540
20090102, 2.56581, 1.95318, -0.84294, -4.82202, 0.73402, 0.52507
20090105, 2.71387, 1.77676, -0.58665, -5.01050, 0.21276, 1.39033
20090106, 2.59718, 1.97375, -0.77427, -4.42045, 0.09352, 0.92155
20090107, 3.29937, 1.19893, -0.51539, -6.41108, 0.08433, 0.28910
20090108, 3.23668, 1.58080, -0.23864, -6.43054, -0.08266, -0.80358
20090109, 3.41666, 1.62332, 0.87278, -8.04325, -0.11483, 0.74300
20090112, 4.04999, 1.30472, 1.64736, -10.87678, -0.29231, 2.70988
20090113, 3.87615, 1.88822, 1.85535, -9.75507, -0.73315, -0.93703
20090114, 4.72525, 1.39467, 3.00171, -14.04029, -0.77016, 3.52919
20090115, 4.66257, -0.34215, 5.41465, -3.57122, 3.75404, -7.72293
20090116, 4.25929, 0.56524, 7.76301, -4.51285, 3.06517, 2.90189
20090120, 5.84181, -2.24943, 7.96502, -6.66143, 4.65926, -0.36609
20090121, 4.35841, 0.60436, 10.22586, -5.38240, 2.85984, 1.28328
20090122, 4.40266, 0.51958, 9.60490, -4.11658, 2.74234, 3.34854
20090123, 4.27295, 0.57569, 8.03990, -3.03592, 2.94327, 1.82823
20090126, 3.89306, 0.90750, 5.76720, -0.84310, 2.82921, -1.25916
20090127, 3.39773, 1.58405, 4.93412, 0.25255, 2.23012, -1.41859
20090128, 2.94727, 1.88169, 3.43986, 0.46443, 2.26084, -1.69439
20090129, 3.32798, 1.18967, 3.48304, -0.29360, 2.85347, 0.51949
20090130, 3.61400, 0.84839, 2.70375, 0.45981, 3.41030, -0.34924
20090202, 3.57881, 0.60002, 1.76739, 1.20394, 3.60364, 0.03025
20090203, 3.21728, 1.08361, 1.83868, 1.44767, 3.15527, 0.23587
20090204, 3.27931, 0.69786, 1.04282, 1.18416, 2.97914, 1.33992
20090205, 3.25863, 0.75748, 1.30674, 1.28040, 2.74652, 0.00577
20090206, 3.24552, 0.80324, 2.00459, 0.92278, 2.52708, -4.08735
20090209, 3.25145, 1.09341, 0.97924, -0.49004, 1.72988, -4.48708
20090210, 3.93755, 0.58308, 2.42121, -1.61992, 2.19700, 1.31571
20090211, 3.61355, 0.91955, 3.19807, -1.52598, 1.93262, 0.34289
20090212, 3.29742, 1.54381, 3.07303, -0.54403, 1.65710, 4.26392
20090213, 3.18905, 1.41339, 1.04252, 0.46628, 1.65016, 0.03530
20090217, 3.98788, 0.18798, 0.57915, 0.50422, 2.21235, -0.58056
20090218, 3.88492, 0.99676, 3.58149, -0.41774, 1.85491, -2.48656
20090219, 3.89196, 0.80894, 1.59455, 1.27670, 2.40464, -0.97253
20090220, 4.21121, 0.37322, 1.14028, 1.30780, 2.34715, -1.41889
20090223, 4.94157, -0.46817, 2.85109, 0.16669, 3.21801, -2.14571
20090224, 3.67618, 1.05669, 1.11066, 1.76188, 2.34508, -1.94188
20090225, 3.67171, 1.19924, 0.35805, 2.82910, 2.09807, -1.66414
20090226, 3.69708, 1.31201, 0.89217, 2.91296, 2.60136, -1.13639
20090227, 3.81027, 0.97399, 0.70990, 2.44750, 2.64810, -1.23559
20090302, 4.89613, -0.49056, 1.17328, 2.25696, 2.52727, 0.10525
20090303, 4.38884, 0.06820, 1.11410, 2.90833, 2.69184, -2.16051
20090304, 3.71060, 0.33084, -0.32142, 3.42494, 2.47847, -1.31969
20090305, 4.35300, -0.67170, -0.77049, 3.59989, 2.40283, -1.76235
20090306, 4.21147, -0.53512, 0.46749, 3.00268, 2.40301, -1.92688
20090309, 4.21177, -0.65887, 0.31790, 2.93086, 2.59581, -1.16184
20090310, 3.29796, 0.27258, 1.22558, 2.21853, 1.72508, 0.82836
20090311, 3.24310, 0.65842, 1.56781, 2.77166, 1.64063, 0.05037
20090312, 2.90696, 1.02316, 1.37604, 2.80997, 1.24911, -0.32784
20090313, 3.12724, 1.18877, 1.47909, 2.67813, 1.69701, 0.19836
20090316, 3.34659, 0.78417, 1.18528, 2.71327, 1.20106, 1.20098
20090317, 2.89007, 1.38439, 0.83146, 2.88229, 1.32258, 0.33083
20090318, 2.87641, 1.62546, 1.15223, 2.86738, 1.19641, 0.68671
20090319, 3.48470, 1.50784, 1.77939, 2.85270, 1.44807, 0.62777
20090320, 4.07677, 1.62275, 4.28473, 1.82808, 1.38011, 1.35167
20090323, 3.22485, 1.43193, 4.33939, 3.91330, 2.75048, -0.44935
20090324, 3.38945, 1.30228, 4.00031, 3.42917, 2.24892, 0.02247
20090325, 3.19342, 1.87586, 0.35083, 0.24163, 1.53733, 0.94748
20090326, 2.78435, 1.90466, -2.83414, 0.53420, 3.83246, 5.09709
20090327, 2.92284, 1.53994, -2.35248, -2.12795, -2.56265, 6.71845
20090330, 3.52531, 0.85216, -3.73321, -3.35531, -3.04176, 7.93766
20090331, 3.33696, 1.22655, -2.44407, -3.55171, -3.03607, 6.29659
20090401, 3.19576, 1.13152, 1.65885, -2.78251, -1.67640, 0.29783
20090402, 3.18609, 1.25241, 1.03937, -2.02290, -1.13135, 0.20294
20090403, 2.94736, 1.79349, 1.19722, -1.77570, -1.03823, 0.64778
20090406, 2.99434, 1.77208, 0.72785, -1.04595, -1.31202, -0.57839
20090407, 3.03734, 1.83349, 1.51063, -1.52913, -1.49608, 0.90124
20090408, 2.77471, 2.21630, 0.97003, -0.61322, -1.27651, -0.07780
20090409, 2.52002, 2.37301, 1.32885, -0.76875, -0.65630, 1.10128
20090413, 2.53978, 2.25881, 0.13568, 0.37019, -0.85910, 0.46718
20090414, 2.55426, 2.40970, -0.00386, 0.29835, -0.82827, -0.22726
20090415, 2.39277, 2.59220, 0.43194, 0.04517, -0.65331, 0.37873
20090416, 2.27361, 2.43069, 0.51976, 0.01882, -0.72506, -1.32277
20090417, 2.05715, 2.46685, 0.93513, -0.35952, -0.63052, -0.52996
20090420, 2.66091, 1.65478, -0.47133, -2.08943, 1.18039, -0.78999
20090421, 2.39808, 2.06881, -0.36450, -0.23065, -0.20607, -0.52339
20090422, 2.47736, 2.07148, -0.41262, -0.36939, -0.25662, -0.17608
20090423, 2.40568, 2.18976, -0.32401, -0.34357, -0.18667, -0.44453
20090424, 2.38287, 2.26259, -0.26783, -0.26230, -0.48514, -0.23553
20090427, 2.58723, 1.98941, -0.46187, -0.88179, -0.07414, 0.41194
20090428, 2.50297, 1.97869, -0.18956, -0.30794, -0.38003, -0.36600
20090429, 2.21404, 2.08956, -0.72767, 0.24831, -0.49557, 0.33293
20090430, 2.24965, 2.10031, -0.36762, 0.18678, -0.44668, 0.47822
20090501, 2.09151, 2.04758, -0.57136, 0.34012, -0.24282, 0.80877
20090504, 1.86986, 1.88685, -0.75044, 0.75206, -0.23791, 0.18390
20090505, 1.85045, 2.09078, -0.71887, 0.66302, -0.34747, 0.50256
20090506, 1.64890, 1.99043, -0.61836, 0.67026, -0.24533, -0.04535
20090507, 1.80259, 1.90530, -0.67399, 0.74340, -0.07978, -0.01771
20090508, 1.52805, 1.77158, -0.51664, 0.87641, -0.16284, -0.03443
20090511, 1.68025, 1.69902, -0.64646, 0.72219, -0.16926, -0.35790
20090512, 1.54770, 1.87938, -0.32307, 0.98979, -0.42642, -0.12431
20090513, 1.72381, 1.55999, -0.49462, 1.06500, -0.13603, -0.40614
20090514, 1.42921, 1.56563, -0.15871, 0.79683, -0.30548, -0.08245
20090515, 1.61627, 1.41510, -0.39247, 0.90300, -0.12608, -0.08984
20090518, 1.24323, 1.59342, -0.17045, 1.03270, -0.32085, -0.52646
20090519, 1.12360, 1.68708, -0.02807, 0.89707, 0.08648, -0.29812
20090520, 1.16074, 1.61569, 0.12912, 0.64733, -0.14998, 0.11899
20090521, 1.46663, 1.48073, -0.20520, 0.56371, -0.11938, 0.09897
20090522, 1.55046, 1.54388, -0.38810, 0.91089, -0.12333, -0.26162
20090526, 1.34017, 1.36502, -1.13014, 1.22287, -0.18810, -1.66138
20090527, 1.53595, 1.13837, -1.49880, 1.11915, -0.06694, -1.35773
20090528, 1.44970, 1.25224, -1.28846, 1.38513, -0.95801, -1.79174
20090529, 1.22145, 1.50607, -1.20784, 2.04242, -0.81299, -1.74098
20090601, 1.19732, 1.39160, -1.03754, 1.09419, -0.32903, -0.67595
20090602, 1.17773, 1.48342, -0.64483, 0.83886, -0.32431, -0.40629
20090603, 1.41320, 1.67814, -0.21155, 0.62853, -0.13791, -0.10748
20090604, 1.32119, 1.78186, -0.32524, 0.75156, -0.18199, -0.26708
20090605, 1.30521, 1.96054, 0.02721, 0.70743, -0.28236, -0.13159
20090608, 1.30475, 1.96527, 0.42622, 1.42121, -0.42633, -0.52424
20090609, 1.14384, 2.10372, -0.00163, 0.94336, -0.15718, 0.00946
20090610, 1.19383, 1.98601, -0.18129, 0.89935, -0.10200, -0.01767
20090611, 1.06230, 1.85187, -0.38605, 0.84358, -0.04219, -0.20185
20090612, 1.02660, 1.77073, -0.64445, 0.89566, -0.09727, -0.15840
20090615, 1.31833, 1.59516, -0.81058, 0.99649, -0.49108, -0.51357
20090616, 1.53616, 1.34788, -0.50160, 0.69204, -0.32078, -0.08551
20090617, 1.44967, 1.64476, -0.22894, 0.72381, -0.34361, 0.51524
20090618, 1.32221, 1.80246, -0.03818, 0.35726, -0.39755, 0.80707
20090619, 1.13906, 2.02981, 0.84260, 0.17410, -0.93899, 0.69617
20090622, 1.45428, 1.94208, 0.73708, -0.13933, 0.42200, 0.29076
20090623, 1.40143, 1.83354, 0.05087, 0.79309, -0.40307, 0.14639
20090624, 1.23926, 2.00443, -0.19707, 0.61814, -0.46021, -0.33413
20090625, 0.94274, 2.12140, -0.20133, 0.86284, -0.87783, -0.84538
20090626, 0.88073, 2.05602, -0.59689, -1.01897, 0.19382, -0.60128
20090629, 0.73867, 1.82841, -0.54241, -0.25304, 0.30407, -0.98351
20090630, 0.86445, 1.73169, -0.45682, -0.47111, 0.40848, -0.73253
20090701, 0.82993, 1.61241, 0.08145, 0.04012, 0.58533, -0.80004
20090702, 1.02783, 1.61204, -0.13452, 0.21774, 0.71098, 0.07920
20090706, 1.10627, 1.38810, -0.29546, 0.31966, 0.76431, -0.13148
20090707, 1.31081, 1.32604, -0.06880, 0.10212, 0.91438, -0.36843
20090708, 1.34299, 1.31167, -0.09690, 0.30064, 0.82837, -0.45127
20090709, 1.25596, 1.51214, 0.19210, -0.03453, 0.70753, 0.04714
20090710, 1.21487, 1.69910, 0.66768, -0.23324, 0.78765, 0.46271
20090713, 0.95394, 2.07254, 1.21488, -0.30379, 0.61112, 1.02929
20090714, 0.90385, 2.08185, 1.27351, -0.26609, 0.60404, 0.84088
20090715, 0.85665, 1.76795, 0.51987, 0.10444, 0.72859, 0.03294
20090716, 0.79887, 1.75196, 0.61841, -0.06460, 0.55060, 0.86193
20090717, 0.75713, 1.87028, 1.12623, -0.31293, 0.46343, 0.35482
20090720, 0.67711, 1.71722, 0.33068, 0.17784, 0.72800, 0.31880
20090721, 0.65288, 1.76745, 0.46538, 0.12668, 0.64065, 0.53531
20090722, 0.60446, 1.79928, 0.46602, 0.17527, 0.62031, 0.36147
20090723, 0.54792, 1.62405, 0.05230, 0.39304, 0.72472, 0.11140
20090724, 0.52064, 1.65592, 0.13474, 0.50039, 0.54385, -0.19234
20090727, 0.59519, 1.46012, 0.14634, 0.19734, 0.36306, -0.00702
20090728, 0.71860, 1.57244, 0.56444, 0.33366, 0.30822, 0.35298
20090729, 0.78990, 1.55513, 0.55745, 0.40056, 0.26210, 0.16236
20090730, 0.75332, 1.52678, 0.55725, 0.37092, 0.26818, -0.02724
20090731, 0.77377, 1.47461, 0.33143, 0.49207, 0.37970, -0.01572
20090803, 0.72142, 1.35548, 0.03938, 0.44975, 0.23453, -0.14645
20090804, 0.65973, 1.38463, 0.17482, 0.43376, 0.25695, 0.12757
20090805, 0.65354, 1.45994, 0.08939, 0.60882, 0.19215, 0.05747
20090806, 0.74154, 1.45214, 0.22239, 0.36703, 0.35061, -0.03191
20090807, 0.62030, 1.43553, 0.08181, 0.37206, 0.30580, -0.23441
20090810, 0.64501, 1.40797, -0.15269, 0.33716, 0.37091, -0.26135
20090811, 0.75514, 1.44535, 0.09276, 0.38303, 0.18064, -0.24820
20090812, 0.71830, 1.45574, 0.18292, 0.08480, 0.04410, 0.09402
20090813, 0.67683, 1.50493, 0.14192, 0.38601, -0.16683, -0.07292
20090814, 0.64566, 1.58632, 0.04501, 0.51713, -0.09624, -0.44952
20090817, 0.98610, 1.51589, 0.31828, 0.46905, 0.02490, -0.27434
20090818, 0.86408, 1.68435, 0.41536, 0.65890, 0.27484, -0.38602
20090819, 0.85407, 1.69553, -0.07538, 0.90880, 0.30100, -0.10975
20090820, 0.76527, 1.83239, 0.51405, 0.70481, 0.12872, 0.15860
20090821, 0.71236, 1.78573, -0.00723, 1.01436, 0.28539, -0.80938
20090824, 0.75834, 1.82947, 0.24737, 1.08086, 0.23199, -0.74248
20090825, 0.74992, 1.87361, 0.25383, 1.05916, 0.25369, -0.80108
20090826, 0.77063, 1.96073, 0.51858, 0.85205, 0.08838, -0.44843
20090827, 0.77291, 1.96377, 0.77694, 0.66837, 0.43471, 0.06430
20090828, 0.76354, 1.88620, 0.68021, 0.22510, 0.38748, 0.04873
20090831, 0.89523, 1.85512, 0.63708, 0.55576, 0.36882, -0.01373
20090901, 1.16013, 1.63415, 0.18542, 0.85573, 0.49329, -0.11157
20090902, 1.19713, 1.73249, 0.26753, 0.63029, 0.57701, -0.12894
20090903, 0.96039, 1.81775, 0.29879, 0.35204, 0.47747, -0.02335
20090904, 0.79074, 1.94045, 0.40629, 0.40183, 0.70312, 0.17644
20090908, 0.78984, 1.78705, 0.18395, 0.19520, 0.56376, 0.28730
20090909, 0.66286, 1.77040, 0.22744, 0.15447, 0.62244, 0.43438
20090910, 0.53643, 1.64597, 0.06561, 0.14218, 0.42885, 0.14797
20090911, 0.57758, 1.60412, -0.21093, 0.15892, 0.73675, 0.25327
20090914, 0.55051, 1.55089, -0.26457, 0.08694, 0.72135, -0.00968
20090915, 0.51700, 1.59403, -0.11635, 0.00657, 0.65766, 0.15490
