,date,near,next,RET
378,1997-07-02,17,45,-0.15015133969976568
379,1997-07-03,16,44,-0.18356915070722268
380,1997-07-07,12,40,0.001194541277435679
381,1997-07-08,11,39,-0.018371301631355808
382,1997-07-09,10,38,0.09223247458458284
383,1997-07-10,9,37,-0.038415515246202236
384,1997-07-11,8,36,-0.09038542015403983
385,1997-07-14,5,33,-0.06625034727265566
386,1997-07-15,4,32,-0.04820172202776063
387,1997-07-16,3,31,0.008772589467637815
389,1997-07-18,29,64,0.029814247373639136
390,1997-07-21,26,61,0.06019393173732146
391,1997-07-22,25,60,-0.15735792462079867
392,1997-07-23,24,59,-0.09176170864974575
393,1997-07-24,23,58,-0.03730589199111334
394,1997-07-25,22,57,-0.04974783756108636
395,1997-07-28,19,54,-0.00405750364100621
396,1997-07-29,18,53,-0.06344865005189282
397,1997-07-30,17,52,-0.07397104277252398
398,1997-07-31,16,51,0.037108075515913885
399,1997-08-01,15,50,0.004988224854293621
400,1997-08-04,12,47,-0.12036719150314956
401,1997-08-05,11,46,-0.10439869472267194
402,1997-08-06,10,45,-0.11908079496649315
403,1997-08-07,9,44,-0.052999788609035536
404,1997-08-08,8,43,0.2163100257649686
405,1997-08-11,5,40,-0.09094285699700044
406,1997-08-12,4,39,0.08654374617801208
407,1997-08-13,3,38,0.0028570303636472616
409,1997-08-15,36,64,0.3599964677055756
410,1997-08-18,33,61,-0.25230829603906746
411,1997-08-19,32,60,-0.18155795145788212
412,1997-08-20,31,59,-0.14806701631305552
413,1997-08-21,30,58,0.24673322803016928
414,1997-08-22,29,57,0.019968484243629847
415,1997-08-25,26,54,-0.13350437912120605
416,1997-08-26,25,53,0.07728380052571637
417,1997-08-27,24,52,-0.1077793763540944
418,1997-08-28,23,51,0.0006959285654679626
419,1997-08-29,22,50,-0.06092813364174332
420,1997-09-02,18,46,-0.13691798234624375
421,1997-09-03,17,45,0.007382108693523293
422,1997-09-04,16,44,-0.030432819622336127
423,1997-09-05,15,43,-0.08529378908321195
424,1997-09-08,12,40,-0.060019804887751604
425,1997-09-09,11,39,-0.06360753238325412
426,1997-09-10,10,38,0.007617465554532465
427,1997-09-11,9,37,0.08370841796865136
428,1997-09-12,8,36,-0.11788238178034294
429,1997-09-15,5,33,-0.05306454234173752
430,1997-09-16,4,32,-0.15747474930500127
431,1997-09-17,3,31,-0.021656985290755326
433,1997-09-19,29,64,-0.050766335022043974
434,1997-09-22,26,61,-0.12899718032228324
435,1997-09-23,25,60,-0.03330798695189119
436,1997-09-24,24,59,0.02656801765668626
437,1997-09-25,23,58,0.004503982536908424
438,1997-09-26,22,57,-0.08953594534636233
439,1997-09-29,19,54,-0.09806228830434238
440,1997-09-30,18,53,-0.04372565057076505
441,1997-10-01,17,52,-0.03966897702195038
442,1997-10-02,16,51,-0.043921485382012904
443,1997-10-03,15,50,-0.09130302477590124
444,1997-10-06,12,47,-0.14555107457293093
445,1997-10-07,11,46,-0.16112078877887048
446,1997-10-08,10,45,0.08097988878782947
447,1997-10-09,9,44,-0.039115061130599926
448,1997-10-10,8,43,-0.09218112695183
449,1997-10-13,5,40,-0.046783935976509206
450,1997-10-14,4,39,-0.05954348262197051
451,1997-10-15,3,38,-0.004932937643202462
453,1997-10-17,36,64,0.21972920520817207
454,1997-10-20,33,61,-0.17989774492425337
455,1997-10-21,32,60,-0.08269976301736659
456,1997-10-22,31,59,0.015719158770074015
457,1997-10-23,30,58,0.19256898203820105
458,1997-10-24,29,57,0.10973244420688277
459,1997-10-27,26,54,0.8489364996495032
460,1997-10-28,25,53,-0.1391292348501838
461,1997-10-29,24,52,0.0892916096239127
462,1997-10-30,23,51,0.29639929263411524
463,1997-10-31,22,50,-0.24935424167264642
464,1997-11-03,19,47,-0.23060855228345745
465,1997-11-04,18,46,0.00965479063700192
466,1997-11-05,17,45,-0.020118342283894308
467,1997-11-06,16,44,0.04665169801818303
468,1997-11-07,15,43,0.0922653751011131
